cores,TestSizePre,TestSizeMain,time write,goToStart write,lostTime write,time mixed,goToStart mixed,lostTime mixed,time check,goToStart check,lostTime check
64,2000,4000,39,0,0,67,0,0,44,0,0
64,4000,8000,92,0,0,162,0,0,107,0,0
64,8000,16000,277,0,0,629,0,0,428,0,0
64,16000,32000,961,0,0,2418,0,0,1668,0,0
64,32000,64000,4399,0,0,10188,0,0,7066,0,0
64,32000,64000,4398,0,0,10201,0,0,7125,0,0
64,32000,64000,4393,0,0,10185,0,0,7130,0,0
64,32000,64000,4300,0,0,10220,0,0,7093,0,0
64,32000,64000,4379,0,0,10169,0,0,7131,0,0
64,32000,64000,4574,0,0,10196,0,0,7111,0,0
64,32000,64000,4442,0,0,10135,0,0,7106,0,0
64,32000,64000,4560,0,0,10228,0,0,7143,0,0
64,32000,64000,4365,0,0,10199,0,0,7105,0,0
64,32000,64000,4393,0,0,10201,0,0,7098,0,0
64,64000,128000,16534,0,0,39839,0,0,27881,0,0
64,64000,128000,16563,0,0,39924,0,0,27780,0,0
64,64000,128000,16657,0,0,39876,0,0,27814,0,0
64,64000,128000,16578,0,0,39850,0,0,27840,0,0
64,64000,128000,16329,0,0,39883,0,0,27732,0,0
64,120000,240000,55658,0,0,137806,0,0,96174,0,0
64,120000,240000,55892,0,0,137904,0,0,96254,0,0
64,120000,240000,55642,0,0,136952,0,0,96256,0,0
64,120000,240000,55872,0,0,137912,0,0,96045,0,0
64,96000,192000,36362,0,0,88497,0,0,61905,0,0
64,96000,192000,36273,0,0,88658,0,0,61947,0,0
64,96000,192000,36198,0,0,88371,0,0,61880,0,0
64,96000,192000,36389,0,0,88593,0,0,61996,0,0
64,96000,192000,36344,0,0,88711,0,0,62085,0,0
1,40000,80000,18457,0,0,61582,0,0,42147,0,0
1,40000,80000,18454,0,0,61413,0,0,42490,0,0
1,40000,80000,18988,0,0,62893,0,0,40850,0,0
1,40000,80000,19016,0,0,63726,0,0,40579,0,0
1,40000,80000,18979,0,0,63412,0,0,42721,0,0
1,40000,80000,18866,0,0,65365,0,0,41206,0,0
1,40000,80000,19050,0,0,66339,0,0,40742,0,0
1,40000,80000,19117,0,0,65513,0,0,42364,0,0
1,40000,80000,18784,0,0,68475,0,0,40592,0,0
1,40000,80000,19556,0,0,67667,0,0,41061,0,0
1,40000,80000,19210,0,0,67943,0,0,41120,0,0
1,40000,80000,19110,0,0,67245,0,0,42174,0,0
1,40000,80000,19110,0,0,66000,0,0,43699,0,0
1,40000,80000,19187,0,0,66186,0,0,43546,0,0
1,40000,80000,19289,0,0,69347,0,0,41348,0,0
1,40000,80000,19880,0,0,70720,0,0,39923,0,0
1,40000,80000,19094,0,0,67532,0,0,44010,0,0
1,40000,80000,19086,0,0,69932,0,0,41959,0,0
1,40000,80000,19170,0,0,71123,0,0,40990,0,0
1,40000,80000,19232,0,0,70317,0,0,41743,0,0
1,40000,80000,19408,0,0,69979,0,0,41943,0,0
1,40000,80000,19764,0,0,71896,0,0,40194,0,0
1,40000,80000,19733,0,0,68827,0,0,43352,0,0
1,40000,80000,18962,0,0,72273,0,0,40792,0,0
1,40000,80000,19413,0,0,67538,0,0,45259,0,0
1,40000,80000,19644,0,0,73488,0,0,39209,0,0
1,40000,80000,19599,0,0,70062,0,0,42683,0,0
1,40000,80000,19604,0,0,69990,0,0,42763,0,0
1,40000,80000,19752,0,0,72142,0,0,40515,0,0
1,40000,80000,19545,0,0,71362,0,0,41842,0,0
1,40000,80000,20286,0,0,70631,0,0,41869,0,0
1,40000,80000,20358,0,0,72094,0,0,40511,0,0
1,40000,80000,19672,0,0,70242,0,0,43324,0,0
1,40000,80000,19520,0,0,68582,0,0,45364,0,0
1,40000,80000,18753,0,0,70783,0,0,44116,0,0
1,40000,80000,19942,0,0,73426,0,0,40327,0,0
1,40000,80000,19882,0,0,72084,0,0,41744,0,0
1,40000,80000,19360,0,0,70939,0,0,43529,0,0
1,40000,80000,20154,0,0,73071,0,0,40680,0,0
1,40000,80000,19770,0,0,70868,0,0,44353,0,0
1,40000,80000,20226,0,0,76664,0,0,38605,0,0
1,40000,80000,19740,0,0,74104,0,0,42095,0,0
1,40000,80000,19622,0,0,73495,0,0,43004,0,0
1,40000,80000,19505,0,0,73449,0,0,43276,0,0
1,40000,80000,19828,0,0,70446,0,0,46167,0,0
1,40000,80000,19145,0,0,69654,0,0,48151,0,0
1,40000,80000,19613,0,0,74796,0,0,42669,0,0
1,40000,80000,19467,0,0,74319,0,0,43527,0,0
1,40000,80000,19935,0,0,71205,0,0,46667,0,0
1,40000,80000,20697,0,0,77242,0,0,40236,0,0
1,40000,80000,20109,0,0,76882,0,0,41451,0,0
1,40000,80000,21122,0,0,78852,0,0,39712,0,0
1,40000,80000,19561,0,0,78018,0,0,42469,0,0
1,40000,80000,19894,0,0,72446,0,0,48101,0,0
1,40000,80000,20062,0,0,76362,0,0,44505,0,0
1,40000,80000,19835,0,0,72998,0,0,48154,0,0
1,40000,80000,19859,0,0,78921,0,0,42644,0,0
1,40000,80000,19624,0,0,74734,0,0,47486,0,0
1,40000,80000,20035,0,0,77188,0,0,45899,0,0
1,40000,80000,19984,0,0,78916,0,0,44693,0,0
1,40000,80000,20310,0,0,77082,0,0,46602,0,0
1,40000,80000,20541,0,0,78406,0,0,46084,0,0
1,40000,80000,20873,0,0,79889,0,0,45291,0,0
1,40000,80000,20799,0,0,81126,0,0,44746,0,0
2,40000,80000,11747,0,0,30773,0,0,20046,0,0
2,40000,80000,11691,0,0,30682,0,0,20363,0,0
2,40000,80000,11698,0,0,30703,0,0,20365,0,0
2,40000,80000,11730,0,0,30705,0,0,20362,0,0
2,40000,80000,11723,0,0,30729,0,0,20380,0,0
2,40000,80000,11735,0,0,30730,0,0,20367,0,0
2,40000,80000,11720,0,0,30734,0,0,20378,0,0
2,40000,80000,11728,0,0,30744,0,0,20377,0,0
2,40000,80000,11739,0,0,30741,0,0,20364,0,0
2,40000,80000,11733,0,0,30740,0,0,20374,0,0
2,40000,80000,11736,0,0,30723,0,0,20385,0,0
2,40000,80000,11757,0,0,30813,0,0,20296,0,0
2,40000,80000,11733,0,0,30764,0,0,20385,0,0
2,40000,80000,11759,0,0,30747,0,0,20394,0,0
2,40000,80000,11728,0,0,30763,0,0,20399,0,0
2,40000,80000,11760,0,0,30751,0,0,20399,0,0
2,40000,80000,11734,0,0,30796,0,0,20379,0,0
2,40000,80000,11755,0,0,30762,0,0,20394,0,0
2,40000,80000,11736,0,0,30767,0,0,20420,0,0
2,40000,80000,11742,0,0,30784,0,0,20400,0,0
2,40000,80000,11747,0,0,30782,0,0,20400,0,0
2,40000,80000,11739,0,0,30790,0,0,20407,0,0
2,40000,80000,11754,0,0,30822,0,0,20419,0,0
2,40000,80000,11757,0,0,30821,0,0,20427,0,0
2,40000,80000,11779,0,0,30876,0,0,20437,0,0
2,40000,80000,11785,0,0,30879,0,0,20442,0,0
2,40000,80000,11745,0,0,30910,0,0,20478,0,0
2,40000,80000,11778,0,0,30935,0,0,20474,0,0
2,40000,80000,11798,0,0,30949,0,0,20529,0,0
2,40000,80000,11809,0,0,31069,0,0,20612,0,0
2,40000,80000,11866,0,0,31142,0,0,20611,0,0
2,40000,80000,11844,0,0,31326,0,0,20707,0,0
4,40000,80000,6937,0,0,17827,0,0,11984,0,0
4,40000,80000,6951,0,0,17837,0,0,11991,0,0
4,40000,80000,6952,0,0,17842,0,0,11988,0,0
4,40000,80000,6941,0,0,17869,0,0,12009,0,0
4,40000,80000,6986,0,0,17859,0,0,11999,0,0
4,40000,80000,6968,0,0,17872,0,0,12009,0,0
4,40000,80000,6949,0,0,17883,0,0,12018,0,0
4,40000,80000,6940,0,0,17907,0,0,12033,0,0
4,40000,80000,6959,0,0,18026,0,0,12082,0,0
4,40000,80000,6949,0,0,18020,0,0,12117,0,0
4,40000,80000,6955,0,0,18016,0,0,12118,0,0
4,40000,80000,6973,0,0,18014,0,0,12119,0,0
4,40000,80000,6979,0,0,18054,0,0,12104,0,0
4,40000,80000,6979,0,0,18055,0,0,12115,0,0
4,40000,80000,6968,0,0,18061,0,0,12138,0,0
4,40000,80000,6986,0,0,18134,0,0,12177,0,0
4,40000,80000,6956,0,0,17827,0,0,11985,0,0
4,40000,80000,6966,0,0,17844,0,0,11982,0,0
4,40000,80000,6959,0,0,17843,0,0,11996,0,0
4,40000,80000,6941,0,0,17859,0,0,11998,0,0
4,40000,80000,6959,0,0,17861,0,0,11996,0,0
4,40000,80000,6970,0,0,17860,0,0,12005,0,0
4,40000,80000,6934,0,0,17907,0,0,12043,0,0
4,40000,80000,6989,0,0,17919,0,0,12025,0,0
4,40000,80000,6955,0,0,17985,0,0,12087,0,0
4,40000,80000,6946,0,0,18032,0,0,12103,0,0
4,40000,80000,6953,0,0,18025,0,0,12130,0,0
4,40000,80000,6959,0,0,18033,0,0,12148,0,0
4,40000,80000,6959,0,0,18107,0,0,12191,0,0
4,40000,80000,7002,0,0,18117,0,0,12173,0,0
4,40000,80000,6996,0,0,18149,0,0,12172,0,0
4,40000,80000,6980,0,0,18158,0,0,12196,0,0
8,40000,80000,11307,0,0,32444,0,0,21913,0,0
8,40000,80000,11332,0,0,32449,0,0,21975,0,0
8,40000,80000,11366,0,0,32482,0,0,21926,0,0
8,40000,80000,11337,0,0,32508,0,0,21937,0,0
8,40000,80000,11429,0,0,32513,0,0,22010,0,0
8,40000,80000,11408,0,0,32496,0,0,22091,0,0
8,40000,80000,11440,0,0,32594,0,0,22009,0,0
8,40000,80000,11368,0,0,32666,0,0,22034,0,0
8,40000,80000,11359,0,0,32405,0,0,21985,0,0
8,40000,80000,11427,0,0,32434,0,0,21977,0,0
8,40000,80000,11341,0,0,32482,0,0,22018,0,0
8,40000,80000,11487,0,0,32449,0,0,21924,0,0
8,40000,80000,11424,0,0,32489,0,0,21964,0,0
8,40000,80000,11428,0,0,32485,0,0,21990,0,0
8,40000,80000,11454,0,0,32577,0,0,21876,0,0
8,40000,80000,11423,0,0,32657,0,0,22038,0,0
8,40000,80000,11369,0,0,32419,0,0,21880,0,0
8,40000,80000,11440,0,0,32424,0,0,21901,0,0
8,40000,80000,11457,0,0,32500,0,0,21860,0,0
8,40000,80000,11413,0,0,32465,0,0,21945,0,0
8,40000,80000,11346,0,0,32572,0,0,21944,0,0
8,40000,80000,11463,0,0,32383,0,0,22038,0,0
8,40000,80000,11460,0,0,32561,0,0,21932,0,0
8,40000,80000,11477,0,0,32583,0,0,21998,0,0
8,40000,80000,11351,0,0,32444,0,0,21959,0,0
8,40000,80000,11446,0,0,32409,0,0,21973,0,0
8,40000,80000,11335,0,0,32540,0,0,21968,0,0
8,40000,80000,11440,0,0,32534,0,0,21969,0,0
8,40000,80000,11484,0,0,32499,0,0,21959,0,0
8,40000,80000,11394,0,0,32589,0,0,22007,0,0
8,40000,80000,11366,0,0,32656,0,0,21976,0,0
8,40000,80000,11481,0,0,32673,0,0,22010,0,0
2,20000,40000,7350,0,0,34124,0,0,35985,0,0
2,20000,40000,6724,0,0,29533,0,0,22022,0,0
2,20000,40000,6980,0,0,33686,0,0,28864,0,0
2,20000,40000,6592,0,0,26669,0,0,23891,0,0
2,20000,40000,6750,0,0,29395,0,0,23691,0,0
2,20000,40000,6723,0,0,31234,0,0,22211,0,0
2,20000,40000,6575,0,0,23633,0,0,21443,0,0
2,20000,40000,6608,0,0,30442,0,0,23296,0,0
2,20000,40000,6684,0,0,26339,0,0,22102,0,0
2,20000,40000,6814,0,0,30352,0,0,23859,0,0
4,20000,40000,7810,0,0,24220,0,0,17624,0,0
4,20000,40000,7264,0,0,26434,0,0,21713,0,0
4,20000,40000,8313,0,0,24027,0,0,18387,0,0
4,20000,40000,8824,0,0,25409,0,0,17852,0,0
4,20000,40000,8822,0,0,29048,0,0,20798,0,0
4,20000,40000,9069,0,0,24378,0,0,16973,0,0
4,20000,40000,7656,0,0,24003,0,0,19696,0,0
4,20000,40000,7497,0,0,26682,0,0,16196,0,0
4,20000,40000,8411,0,0,25637,0,0,20353,0,0
4,20000,40000,8487,0,0,24526,0,0,16739,0,0
8,20000,40000,5356,0,0,18469,0,0,13710,0,0
8,20000,40000,6123,0,0,19508,0,0,13447,0,0
8,20000,40000,5612,0,0,17051,0,0,12736,0,0
8,20000,40000,5712,0,0,19408,0,0,13145,0,0
8,20000,40000,6206,0,0,17799,0,0,12577,0,0
8,20000,40000,6315,0,0,18800,0,0,12757,0,0
8,20000,40000,5842,0,0,18342,0,0,12068,0,0
8,20000,40000,5793,0,0,17582,0,0,13187,0,0
