cores,TestSizePre,TestSizeMain,time write,goToStart write,lostTime write,time mixed,goToStart mixed,lostTime mixed,time check,goToStart check,lostTime check
64,2000,4000,2,82,0.000848,3,6,0.00015,1,0,0
64,4000,8000,6,114,0.001474,10,2,9.7e-05,6,0,0
64,8000,16000,23,106,0.001216,50,2,0.00026,32,0,0
64,16000,32000,94,108,0.001566,217,0,0.000124,144,0,0
64,32000,64000,380,79,0.001003,879,0,0.000121,598,0,0
64,64000,128000,1554,129,0.003355,3643,0,0.000282,2463,0,0
64,128000,256000,12306,180,0.013543,40064,1,0.012864,24954,0,0
64,128000,256000,10837,308,0.020704,42123,2,0.020621,24286,0,0
64,128000,256000,10608,277,0.028335,41622,2,0.00765,24568,0,0
64,128000,256000,12711,263,0.005804,41016,1,0.009977,23841,0,0
64,128000,256000,11674,226,0.016523,41356,4,0.033692,24553,0,0
64,128000,256000,14106,219,0.001211,41256,1,0.007826,24433,0,0
64,128000,256000,11745,276,0.012302,41268,2,0.025235,24299,0,0
64,128000,256000,11765,253,0.020823,42902,0,0,24569,0,0
64,128000,256000,10484,274,0.016359,41371,5,0.049958,25037,0,0
64,128000,256000,12775,294,0.004497,42064,4,0.036844,24564,0,0
64,192000,384000,46847,281,0.014239,156101,2,0.029406,102544,0,0
64,128000,256000,12830,239,0.003096,41974,3,0.03518,25550,0,0
64,128000,256000,11861,282,0.00382,41001,3,0.022298,24672,0,0
64,128000,256000,12082,231,0.000583,41817,2,0.024274,25494,0,0
64,128000,256000,13083,290,0.039512,41187,5,0.02222,26167,0,0
64,128000,256000,11712,284,0.006963,40971,2,0.012791,25466,0,0
64,128000,256000,12484,258,0.013888,41259,1,0.004076,25595,0,0
64,128000,256000,12762,300,0.019599,41618,3,0.021766,24473,0,0
64,128000,256000,11594,249,0.006697,40815,1,0.002216,24333,0,0
64,170000,340000,31451,224,0.000982,108937,3,0.029875,68909,0,0
64,170000,340000,31026,256,0.012455,110705,2,0.012369,69098,0,0
64,170000,340000,32650,233,0.009276,107385,1,0.027182,68836,0,0
64,170000,340000,31586,260,0.010652,108087,5,0.088742,69796,0,0
64,170000,340000,33397,239,0.017723,107639,2,0.030128,69253,0,0
64,96000,192000,4525,372,0.003757,12963,0,0,7739,0,0
64,96000,192000,4045,227,0.042224,12653,1,0.005571,7601,0,0
64,96000,192000,4684,222,0.001218,13381,0,0,8532,0,0
64,96000,192000,4788,251,0.001932,12942,1,0.001879,8198,0,0
64,96000,192000,4681,288,0.019451,13121,1,0.001552,7330,0,0
1,40000,80000,21738,0,0,111913,0,0,50415,0,0
1,40000,80000,20839,0,0,109350,0,0,57497,0,0
1,40000,80000,21575,0,0,103564,0,0,62688,0,0
1,40000,80000,22040,0,0,111735,0,0,54817,0,0
1,40000,80000,21175,0,0,118487,0,0,49460,0,0
1,40000,80000,21187,0,0,114947,0,0,53471,0,0
1,40000,80000,21009,0,0,123102,0,0,47175,0,0
1,40000,80000,21901,0,0,112993,0,0,57699,0,0
1,40000,80000,21616,0,0,118262,0,0,52846,0,0
1,40000,80000,20897,0,0,106473,0,0,65371,0,0
1,40000,80000,20718,0,0,116923,0,0,56804,0,0
1,40000,80000,20991,0,0,116953,0,0,56647,0,0
1,40000,80000,22351,0,0,117237,0,0,55149,0,0
1,40000,80000,21495,0,0,115582,0,0,57840,0,0
1,40000,80000,20416,0,0,109157,0,0,65441,0,0
1,40000,80000,21415,0,0,109057,0,0,64705,0,0
1,40000,80000,22396,0,0,107842,0,0,65423,0,0
1,40000,80000,22390,0,0,118859,0,0,54440,0,0
1,40000,80000,23547,0,0,110819,0,0,61575,0,0
1,40000,80000,22362,0,0,117107,0,0,56625,0,0
1,40000,80000,21736,0,0,110727,0,0,64680,0,0
1,40000,80000,21176,0,0,111131,0,0,64938,0,0
1,40000,80000,21708,0,0,123435,0,0,52162,0,0
1,40000,80000,21131,0,0,113780,0,0,62382,0,0
1,40000,80000,22932,0,0,109884,0,0,64585,0,0
1,40000,80000,23370,0,0,119699,0,0,54603,0,0
1,40000,80000,21532,0,0,112665,0,0,63636,0,0
1,40000,80000,21616,0,0,115549,0,0,60811,0,0
1,40000,80000,21085,0,0,114723,0,0,62188,0,0
1,40000,80000,23034,0,0,109004,0,0,65977,0,0
1,40000,80000,22154,0,0,114361,0,0,61893,0,0
1,40000,80000,20774,0,0,114049,0,0,63707,0,0
1,40000,80000,22337,0,0,124807,0,0,51420,0,0
1,40000,80000,20482,0,0,113459,0,0,64648,0,0
1,40000,80000,21838,0,0,113178,0,0,63697,0,0
1,40000,80000,22011,0,0,117085,0,0,59726,0,0
1,40000,80000,23709,0,0,117199,0,0,57977,0,0
1,40000,80000,22516,0,0,111885,0,0,64668,0,0
1,40000,80000,22382,0,0,114857,0,0,61805,0,0
1,40000,80000,21100,0,0,115466,0,0,62640,0,0
1,40000,80000,22025,0,0,121401,0,0,55892,0,0
1,40000,80000,22988,0,0,111720,0,0,64670,0,0
1,40000,80000,22680,0,0,115682,0,0,61058,0,0
1,40000,80000,19958,0,0,118871,0,0,60692,0,0
1,40000,80000,21436,0,0,113651,0,0,64480,0,0
1,40000,80000,19394,0,0,117760,0,0,62522,0,0
1,40000,80000,23174,0,0,112320,0,0,64292,0,0
1,40000,80000,22314,0,0,115619,0,0,61921,0,0
1,40000,80000,21528,0,0,112404,0,0,66019,0,0
1,40000,80000,20756,0,0,117538,0,0,61858,0,0
1,40000,80000,21507,0,0,114058,0,0,65128,0,0
1,40000,80000,20079,0,0,116832,0,0,64030,0,0
1,40000,80000,22698,0,0,110578,0,0,67712,0,0
1,40000,80000,22180,0,0,112579,0,0,66263,0,0
1,40000,80000,22994,0,0,115770,0,0,62672,0,0
1,40000,80000,21222,0,0,113780,0,0,66445,0,0
1,40000,80000,23137,0,0,115833,0,0,62721,0,0
1,40000,80000,21565,0,0,115454,0,0,64664,0,0
1,40000,80000,21737,0,0,113102,0,0,66969,0,0
1,40000,80000,21934,0,0,116042,0,0,64045,0,0
1,40000,80000,22602,0,0,118916,0,0,60909,0,0
1,40000,80000,21981,0,0,117672,0,0,63082,0,0
1,40000,80000,21146,0,0,120374,0,0,62677,0,0
1,40000,80000,22539,0,0,120434,0,0,61290,0,0
2,40000,80000,7036,3,1e-06,22272,0,0,13563,0,0
2,40000,80000,7069,3,0,22921,0,0,13581,0,0
2,40000,80000,7187,3,0,22704,0,0,13874,0,0
2,40000,80000,7501,7,0,22534,0,0,14015,0,0
2,40000,80000,7227,6,0,23615,0,0,13732,0,0
2,40000,80000,7283,6,0,23652,0,0,13663,0,0
2,40000,80000,7325,2,0,23377,0,0,13893,0,0
2,40000,80000,7384,7,1e-05,23642,1,0.000554,13632,0,0
2,40000,80000,7206,3,0,23897,0,0,13611,0,0
2,40000,80000,7078,4,1e-06,24470,0,0,13447,0,0
2,40000,80000,7325,3,0,23682,0,0,14163,0,0
2,40000,80000,7250,4,0,23146,0,0,14848,0,0
2,40000,80000,7391,4,0,24223,0,0,13684,0,0
2,40000,80000,7142,5,0,24029,0,0,14145,0,0
2,40000,80000,7316,4,0,23841,0,0,14187,0,0
2,40000,80000,7456,2,1e-06,24355,0,0,13567,0,0
2,40000,80000,7200,2,0,23873,0,0,14356,0,0
2,40000,80000,7325,4,0,24287,0,0,13918,0,0
2,40000,80000,7405,6,0,23732,0,0,14439,0,0
2,40000,80000,7269,4,9e-06,24612,0,0,13877,0,0
2,40000,80000,7401,3,0,24255,0,0,14128,0,0
2,40000,80000,7208,3,0,24395,0,0,14296,0,0
2,40000,80000,7326,1,0,24162,0,0,14450,0,0
2,40000,80000,7323,3,0,24299,1,0.000763,14471,0,0
2,40000,80000,7309,2,1e-06,24661,0,0,14280,0,0
2,40000,80000,7313,6,0,24823,0,0,14210,0,0
2,40000,80000,7307,4,0,23885,1,0.000555,15335,0,0
2,40000,80000,7232,6,1e-06,24388,0,0,15005,0,0
2,40000,80000,7525,1,0,25496,1,0.000946,14201,0,0
2,40000,80000,7344,2,0,25315,0,0,14908,0,0
2,40000,80000,7365,2,0,25395,0,0,14820,0,0
2,40000,80000,7486,4,0,26230,0,0,14237,0,0
4,40000,80000,3607,11,5e-06,10571,0,0,6906,0,0
4,40000,80000,3654,9,3e-06,10595,0,0,6906,0,0
4,40000,80000,3669,6,1e-06,10736,0,0,6899,0,0
4,40000,80000,3694,10,4e-06,10823,0,0,6890,0,0
4,40000,80000,3630,4,1.4e-05,10900,0,0,6926,0,0
4,40000,80000,3697,13,2e-06,11044,0,0,6728,0,0
4,40000,80000,3662,9,4.3e-05,10940,0,0,6949,0,0
4,40000,80000,3731,8,1e-06,11281,0,0,6899,0,0
4,40000,80000,3710,11,4e-06,11216,0,0,7230,0,0
4,40000,80000,3631,9,2e-06,11017,0,0,7519,0,0
4,40000,80000,3772,10,2e-06,11547,0,0,6897,0,0
4,40000,80000,3769,7,3e-06,11594,0,0,6885,0,0
4,40000,80000,3735,8,0.000123,11377,0,0,7319,0,0
4,40000,80000,3711,7,1e-06,11639,0,0,7224,0,0
