cores,TestSizePre,TestSizeMain,time write,goToStart write,lostTime write,time mixed,goToStart mixed,lostTime mixed,time check,goToStart check,lostTime check
64,2000,4000,1,27,0.000217,2,170,0.003239,0,0,0
64,4000,8000,5,19,0.000201,11,164,0.00599,5,0,0
64,8000,16000,18,24,0.000281,44,190,0.014282,23,0,0
64,16000,32000,67,21,0.000328,191,141,0.025116,104,0,0
64,32000,64000,332,20,0.000505,903,119,0.053668,501,0,0
64,64000,128000,1418,21,0.000316,3556,126,0.098574,2081,0,0
64,128000,256000,6456,99,0.006873,15546,282,0.546513,9164,0,0
64,128000,256000,6773,135,0.013069,16277,254,0.536212,9829,0,0
64,128000,256000,6216,110,0.084005,15273,305,0.600542,9811,0,0
64,128000,256000,6614,71,0.021552,16048,223,0.494851,10223,0,0
64,128000,256000,6516,128,0.009695,15404,263,0.514995,10182,0,0
64,128000,256000,6625,117,0.017643,15253,258,0.493035,9878,0,0
64,128000,256000,6650,113,0.006429,15352,267,0.562204,9481,0,0
64,128000,256000,6328,128,0.010918,15801,314,0.694831,9615,0,0
64,128000,256000,6154,131,0.020718,15552,390,0.803659,9318,0,0
64,128000,256000,5998,145,0.032589,15985,238,0.520238,10071,0,0
64,128000,256000,6437,124,0.010088,15499,171,0.372025,10380,0,0
64,128000,256000,6769,119,0.017388,16310,373,0.814992,9834,0,0
64,256000,512000,30207,106,0.009758,122753,4129,27.1348,60923,0,0
64,256000,512000,32916,104,0.009271,122257,3153,20.8938,58107,0,0
64,256000,512000,33949,125,0.041543,122458,2885,19.6351,62282,0,0
64,256000,512000,31277,111,0.097307,121802,3228,21.625,61236,0,0
64,256000,512000,30232,96,0.008883,121357,2394,15.8241,56079,0,0
64,256000,512000,32807,113,0.016376,122609,3084,20.8622,61201,0,0
64,256000,512000,32318,115,0.03291,126621,3321,22.2672,65150,0,0
64,256000,512000,32864,121,0.031344,125780,3108,20.5102,59466,0,0
64,128000,256000,6389,138,0.011155,16550,229,0.470294,9619,0,0
64,128000,256000,6094,125,0.007454,15314,216,0.430063,9609,0,0
64,128000,256000,5856,126,0.011394,15243,171,0.309789,9593,0,0
64,128000,256000,6880,140,0.037564,15272,216,0.414678,9538,0,0
64,128000,256000,6484,139,0.008918,15544,259,0.468814,9113,0,0
64,170000,340000,11708,122,0.00932,29860,785,2.40601,16739,0,0
64,170000,340000,11982,87,0.007107,31676,1106,3.58683,17928,0,0
64,170000,340000,11425,137,0.013243,30800,1037,3.24225,18247,0,0
64,170000,340000,11192,124,0.054132,30471,717,2.10376,17184,0,0
64,170000,340000,11127,123,0.039109,30271,1094,3.33136,16376,0,0
64,212000,424000,19150,120,0.007613,62613,1903,8.76419,32248,0,0
64,212000,424000,17923,127,0.023019,60673,2145,9.84841,30726,0,0
64,212000,424000,20046,128,0.007715,62884,2499,11.741,32723,0,0
64,212000,424000,17486,126,0.043981,60846,2117,9.49617,31102,0,0
64,212000,424000,17832,111,0.023526,60140,1502,6.66372,29543,0,0
64,96000,192000,3755,114,0.005167,8488,140,0.206545,5181,0,0
64,96000,192000,3557,119,0.006636,8713,113,0.124437,5064,0,0
64,96000,192000,3663,123,0.031026,8522,93,0.127487,5214,0,0
64,96000,192000,3789,127,0.02887,8479,109,0.133325,5164,0,0
64,96000,192000,3541,122,0.022383,8404,105,0.125218,5156,0,0
2,20000,40000,1095,1,3e-06,3826,4,0.000552,1678,0,0
2,20000,40000,1055,3,7e-06,3778,0,0,1730,0,0
2,20000,40000,1058,3,3e-05,3764,1,3.5e-05,1668,0,0
2,20000,40000,1087,1,6e-06,3832,3,0.000197,1750,0,0
2,20000,40000,1079,3,2.2e-05,3802,1,0.000105,1738,0,0
2,20000,40000,1050,0,0,3784,3,0.000381,1728,0,0
2,20000,40000,1059,1,1e-06,3767,2,0.000217,1718,0,0
2,20000,40000,1061,1,2e-06,3777,1,8.8e-05,1745,0,0
2,20000,40000,1101,3,1e-05,3874,2,0.000366,1753,0,0
2,20000,40000,1059,1,2e-06,3820,1,9.8e-05,1730,0,0
4,20000,40000,577,5,7e-06,1911,5,0.00037,889,0,0
4,20000,40000,567,5,2.7e-05,1899,6,0.000421,848,0,0
4,20000,40000,602,3,7e-06,1902,6,0.000695,833,0,0
4,20000,40000,579,2,5e-06,1920,7,0.000687,878,0,0
4,20000,40000,576,2,6e-06,1920,6,0.00057,849,0,0
4,20000,40000,588,5,8.5e-05,1902,14,0.001089,851,0,0
4,20000,40000,583,7,1.4e-05,1915,1,4.6e-05,875,0,0
4,20000,40000,559,5,3.6e-05,1909,4,0.000383,858,0,0
4,20000,40000,577,5,6e-05,1889,6,0.00082,853,0,0
4,20000,40000,592,4,0.000101,1916,4,0.000518,863,0,0
8,20000,40000,284,5,2.4e-05,1005,21,0.002158,462,0,0
8,20000,40000,283,15,4.3e-05,998,11,0.000734,452,0,0
8,20000,40000,278,5,9.7e-05,991,15,0.001616,426,0,0
8,20000,40000,278,7,0.000112,1006,19,0.001538,455,0,0
8,20000,40000,291,5,0.000105,1027,6,0.000454,450,0,0
8,20000,40000,273,10,0.000125,996,16,0.001479,451,0,0
8,20000,40000,293,7,0.000102,1017,14,0.001903,478,0,0
8,20000,40000,283,6,7.1e-05,1004,16,0.001258,455,0,0
8,20000,40000,282,9,9e-05,999,12,0.001115,446,0,0
8,20000,40000,279,11,0.000136,994,10,0.00089,434,0,0
16,20000,40000,164,16,0.000148,605,20,0.002144,279,0,0
16,20000,40000,163,19,0.00017,610,18,0.002404,285,0,0
16,20000,40000,160,12,9.3e-05,600,23,0.00251,283,0,0
16,20000,40000,168,14,9.9e-05,604,32,0.003963,281,0,0
16,20000,40000,164,12,0.000162,614,20,0.002449,294,0,0
16,20000,40000,160,17,0.00021,609,20,0.002467,285,0,0
16,20000,40000,160,20,0.00017,602,33,0.004193,278,0,0
16,20000,40000,165,14,0.000133,594,33,0.003355,272,0,0
16,20000,40000,161,11,0.000256,608,20,0.00257,291,0,0
16,20000,40000,160,22,0.000251,603,26,0.003286,290,0,0
16,20000,40000,167,11,0.000153,601,31,0.003208,284,0,0
16,20000,40000,165,15,8.5e-05,613,32,0.003295,297,0,0
16,20000,40000,196,27,0.000363,672,29,0.00533,284,0,0
32,20000,40000,127,20,0.000168,443,78,0.014411,227,0,0
32,20000,40000,131,15,0.000335,459,85,0.014008,226,0,0
32,20000,40000,131,26,0.000272,466,74,0.013594,232,0,0
32,20000,40000,134,9,5.3e-05,459,75,0.013833,229,0,0
32,20000,40000,132,7,8.9e-05,455,96,0.018701,226,0,0
32,20000,40000,134,19,0.000586,458,92,0.017058,230,0,0
32,20000,40000,125,18,0.00021,464,74,0.015815,229,0,0
32,20000,40000,166,25,0.000383,458,74,0.012041,227,0,0
32,20000,40000,127,22,0.000347,468,79,0.013431,235,0,0
32,20000,40000,135,16,0.000246,455,83,0.015721,228,0,0
64,20000,40000,109,25,0.000364,329,147,0.03329,183,0,0
64,20000,40000,164,20,0.000378,355,112,0.085104,177,0,0
64,20000,40000,148,16,0.000321,339,161,0.099226,177,0,0
64,20000,40000,125,24,0.000415,295,152,0.033009,154,0,0
64,20000,40000,147,15,9.2e-05,337,124,0.026992,157,0,0
64,20000,40000,145,25,0.000626,329,128,0.028916,156,0,0
64,20000,40000,110,17,0.000339,332,118,0.041294,189,0,0
64,20000,40000,147,29,0.000873,309,122,0.042153,183,0,0
64,20000,40000,115,18,0.000122,306,112,0.023916,180,0,0
64,20000,40000,149,14,0.000519,346,133,0.061197,184,0,0
1,20000,40000,2020,0,0,7425,0,0,3078,0,0
1,20000,40000,1871,0,0,7477,0,0,3536,0,0
1,20000,40000,1624,0,0,6484,0,0,2949,0,0
1,20000,40000,1811,0,0,7356,0,0,3391,0,0
1,20000,40000,1583,0,0,6340,0,0,2571,0,0
1,20000,40000,1934,0,0,7460,0,0,3458,0,0
4,40000,80000,2964,10,0.000236,9410,3,0.000864,4895,0,0
4,40000,80000,3028,6,5e-05,9408,7,0.001283,4892,0,0
4,40000,80000,3037,4,6.6e-05,9431,7,0.002524,4907,0,0
4,40000,80000,2996,6,9.7e-05,9421,4,0.000531,4890,0,0
4,40000,80000,2960,4,0.000105,9130,5,0.001258,4628,0,0
4,40000,80000,2973,4,0.000104,9398,11,0.002354,4890,0,0
4,40000,80000,2995,11,9e-05,9427,4,0.00099,4898,0,0
4,40000,80000,3019,4,7.8e-05,9429,5,0.001181,4900,0,0
4,40000,80000,2958,15,0.000354,9415,0,0,4896,0,0
4,40000,80000,3028,5,0.000155,9421,7,0.001608,4877,0,0
8,40000,80000,1429,13,0.000144,4875,5,0.001133,2513,0,0
8,40000,80000,1403,10,0.000379,4866,13,0.002935,2508,0,0
8,40000,80000,1432,7,0.000145,4869,6,0.001226,2499,0,0
8,40000,80000,1406,16,0.000145,4824,13,0.003413,2500,0,0
8,40000,80000,1417,18,0.000342,4827,16,0.002755,2495,0,0
8,40000,80000,1424,12,0.000193,4931,8,0.001906,2499,0,0
8,40000,80000,1425,11,0.000271,4836,8,0.001226,2501,0,0
8,40000,80000,1433,14,0.00024,4852,11,0.002689,2516,0,0
8,40000,80000,1415,11,0.000203,4854,11,0.003223,2497,0,0
8,40000,80000,1405,8,0.000198,4825,14,0.002212,2492,0,0
16,40000,80000,782,22,0.000559,2830,15,0.003944,1479,0,0
16,40000,80000,794,15,0.000379,2809,24,0.004301,1424,0,0
16,40000,80000,801,31,0.000592,2843,23,0.006069,1464,0,0
16,40000,80000,815,20,0.000171,2846,32,0.010609,1401,0,0
16,40000,80000,810,36,0.000638,2819,23,0.006478,1442,0,0
16,40000,80000,825,22,0.000383,2837,24,0.006494,1428,0,0
16,40000,80000,793,34,0.00039,2821,24,0.007005,1479,0,0
16,40000,80000,772,37,0.000449,2806,27,0.008113,1431,0,0
16,40000,80000,822,17,0.000394,2878,27,0.007922,1451,0,0
16,40000,80000,791,12,0.000107,2859,21,0.00551,1424,0,0
32,40000,80000,624,20,0.000713,2166,72,0.026957,1187,0,0
32,40000,80000,595,22,0.000314,2175,65,0.027308,1206,0,0
32,40000,80000,586,16,0.00015,2184,50,0.024829,1205,0,0
32,40000,80000,584,27,0.000277,2160,70,0.032916,1205,0,0
32,40000,80000,591,27,0.000236,2181,70,0.027528,1211,0,0
32,40000,80000,604,26,0.000371,2123,76,0.031947,1167,0,0
32,40000,80000,582,14,0.000164,2179,65,0.026092,1210,0,0
32,40000,80000,575,30,0.000331,2153,72,0.033807,1185,0,0
32,40000,80000,594,16,0.000178,2154,66,0.028253,1196,0,0
32,40000,80000,554,41,0.000421,2194,67,0.029044,1205,0,0
64,40000,80000,432,27,0.000952,1255,155,0.063949,811,0,0
64,40000,80000,520,25,0.000317,1262,123,0.055044,759,0,0
64,40000,80000,458,36,0.000613,1248,120,0.102336,707,0,0
64,40000,80000,482,33,0.000357,1233,134,0.056672,732,0,0
64,40000,80000,451,20,0.000298,1381,150,0.080448,763,0,0
64,40000,80000,517,16,0.000463,1345,117,0.070318,720,0,0
64,40000,80000,633,18,0.000386,1264,143,0.110005,746,0,0
64,40000,80000,605,30,0.000977,1330,121,0.085005,826,0,0
64,40000,80000,621,57,0.001484,1338,120,0.155074,803,0,0
