cores,TestSizePre,TestSizeMain,time write,goToStart write,lostTime write,time mixed,goToStart mixed,lostTime mixed,time check,goToStart check,lostTime check
64,2000,4000,1,31,0.000208,2,4,8.5e-05,0,0,0
64,4000,8000,5,24,0.00021,11,2,0.0001,5,0,0
64,8000,16000,16,23,0.000242,43,6,0.001302,22,0,0
64,16000,32000,70,23,0.000414,191,0,9.3e-05,102,0,0
64,32000,64000,333,22,0.000293,886,0,0.003254,519,0,0
64,64000,128000,1601,32,0.001032,3716,0,6e-05,2200,0,0
64,128000,256000,6333,121,0.006644,15586,0,0,9264,0,0
64,128000,256000,6118,131,0.027984,15998,0,0,9417,0,0
64,128000,256000,6678,124,0.010522,15423,0,0,9316,0,0
64,128000,256000,6397,123,0.030368,15240,0,0,9937,0,0
64,128000,256000,6500,113,0.006531,15403,0,0,9488,0,0
64,128000,256000,6366,116,0.036072,15425,0,0,9531,0,0
64,128000,256000,6439,132,0.008741,15392,0,0,9121,0,0
64,128000,256000,6496,134,0.029358,16218,0,0,10288,0,0
64,128000,256000,6359,114,0.008392,15232,0,0,9029,0,0
64,128000,256000,6283,113,0.081105,15239,0,0,10053,0,0
64,128000,256000,6234,116,0.005629,15360,0,0,9156,0,0
64,256000,512000,32811,106,0.005556,126461,0,0,60623,0,0
64,256000,512000,31764,117,0.006096,123307,2,0.024912,57442,0,0
64,256000,512000,32137,107,0.009338,123033,1,0.01004,62916,0,0
64,256000,512000,31334,122,0.019568,123205,0,0,62559,0,0
64,256000,512000,31864,84,0.007287,123055,1,0.006648,59558,0,0
64,256000,512000,30013,112,0.011,121947,2,0.027816,57700,0,0
64,128000,256000,6412,122,0.04712,15487,0,0,9241,0,0
64,128000,256000,6276,109,0.005738,15233,0,0,9597,0,0
64,128000,256000,6650,112,0.090355,15582,0,0,9490,0,0
64,128000,256000,6351,126,0.006906,15393,0,0,9207,0,0
64,128000,256000,7080,116,0.005813,15783,0,0,9687,0,0
64,170000,340000,11396,127,0.039605,30409,0,0,16365,0,0
64,170000,340000,11171,116,0.00835,31719,0,0,17526,0,0
64,170000,340000,12362,134,0.017919,32559,1,0.005447,17638,0,0
64,170000,340000,11269,115,0.008307,32169,0,0,18259,0,0
64,170000,340000,10969,127,0.038808,30459,1,0.001254,16897,0,0
64,212000,424000,19688,113,0.010756,63696,1,0.00207,31927,0,0
64,212000,424000,18726,123,0.011935,61746,0,0,31232,0,0
64,212000,424000,19419,103,0.013676,62991,0,0,31212,0,0
64,212000,424000,20792,118,0.013807,62669,2,0.016252,30351,0,0
64,212000,424000,19443,114,0.009321,61947,1,0.006217,29969,0,0
64,96000,192000,3498,113,0.057152,8394,0,0,5021,0,0
64,96000,192000,3806,125,0.044636,8467,0,0,5331,0,0
64,96000,192000,3842,141,0.010562,8743,0,0,5244,0,0
64,96000,192000,3763,117,0.009812,8512,0,0,5043,0,0
64,96000,192000,3919,153,0.03177,8764,0,0,5477,0,0
1,40000,80000,11379,0,0,43363,0,0,22054,0,0
1,40000,80000,11894,0,0,44081,0,0,21746,0,0
1,40000,80000,11862,0,0,44442,0,0,21442,0,0
1,40000,80000,11947,0,0,43972,0,0,22004,0,0
1,40000,80000,11958,0,0,44655,0,0,21446,0,0
1,40000,80000,11895,0,0,44436,0,0,21927,0,0
1,40000,80000,11902,0,0,44603,0,0,21845,0,0
1,40000,80000,11525,0,0,44104,0,0,22712,0,0
1,40000,80000,11868,0,0,44462,0,0,22080,0,0
1,40000,80000,11986,0,0,44617,0,0,22102,0,0
1,40000,80000,11896,0,0,44794,0,0,22036,0,0
1,40000,80000,11904,0,0,44731,0,0,22100,0,0
1,40000,80000,11918,0,0,44590,0,0,22244,0,0
1,40000,80000,12012,0,0,44737,0,0,21999,0,0
1,40000,80000,11434,0,0,44764,0,0,22623,0,0
1,40000,80000,12134,0,0,44636,0,0,22018,0,0
1,40000,80000,11930,0,0,44517,0,0,22412,0,0
1,40000,80000,11977,0,0,44281,0,0,22609,0,0
1,40000,80000,12173,0,0,44771,0,0,21951,0,0
1,40000,80000,11920,0,0,44660,0,0,22316,0,0
1,40000,80000,11924,0,0,45084,0,0,21921,0,0
1,40000,80000,11908,0,0,44375,0,0,22667,0,0
1,40000,80000,11748,0,0,44532,0,0,22665,0,0
1,40000,80000,11931,0,0,45009,0,0,22053,0,0
1,40000,80000,11911,0,0,45030,0,0,22056,0,0
1,40000,80000,11575,0,0,44694,0,0,22712,0,0
1,40000,80000,11921,0,0,44594,0,0,22479,0,0
1,40000,80000,11858,0,0,44463,0,0,22698,0,0
1,40000,80000,12000,0,0,44381,0,0,22654,0,0
1,40000,80000,11938,0,0,44681,0,0,22442,0,0
1,40000,80000,11887,0,0,44683,0,0,22634,0,0
1,40000,80000,11949,0,0,45132,0,0,22162,0,0
1,40000,80000,11654,0,0,44750,0,0,22811,0,0
1,40000,80000,11916,0,0,44711,0,0,22619,0,0
1,40000,80000,11956,0,0,44594,0,0,22739,0,0
1,40000,80000,11882,0,0,45020,0,0,22387,0,0
1,40000,80000,11352,0,0,45302,0,0,22685,0,0
1,40000,80000,11926,0,0,44738,0,0,22743,0,0
1,40000,80000,11942,0,0,44776,0,0,22685,0,0
1,40000,80000,12021,0,0,44768,0,0,22625,0,0
1,40000,80000,11956,0,0,44735,0,0,22736,0,0
1,40000,80000,11863,0,0,45145,0,0,22470,0,0
1,40000,80000,11959,0,0,44785,0,0,22696,0,0
1,40000,80000,12016,0,0,44810,0,0,22668,0,0
1,40000,80000,11999,0,0,44751,0,0,22691,0,0
1,40000,80000,11971,0,0,44744,0,0,22762,0,0
1,40000,80000,11906,0,0,44937,0,0,22691,0,0
1,40000,80000,11851,0,0,44916,0,0,22742,0,0
1,40000,80000,11979,0,0,44872,0,0,22684,0,0
1,40000,80000,11964,0,0,45163,0,0,22467,0,0
1,40000,80000,12114,0,0,44811,0,0,22663,0,0
1,40000,80000,12005,0,0,45114,0,0,22507,0,0
1,40000,80000,11914,0,0,44990,0,0,22764,0,0
1,40000,80000,12051,0,0,45086,0,0,22548,0,0
1,40000,80000,12234,0,0,44930,0,0,22548,0,0
1,40000,80000,11960,0,0,45021,0,0,22723,0,0
1,40000,80000,11990,0,0,45052,0,0,22697,0,0
1,40000,80000,11868,0,0,45117,0,0,22890,0,0
1,40000,80000,11970,0,0,45022,0,0,22919,0,0
1,40000,80000,12102,0,0,45284,0,0,22582,0,0
1,40000,80000,12041,0,0,45339,0,0,22653,0,0
1,40000,80000,12086,0,0,45245,0,0,22746,0,0
1,40000,80000,11955,0,0,45290,0,0,22924,0,0
1,40000,80000,12018,0,0,45498,0,0,22645,0,0
2,40000,80000,6545,2,0,21962,0,0,11156,0,0
2,40000,80000,6339,1,0,21937,0,0,11425,0,0
2,40000,80000,6543,2,0,21998,0,0,11201,0,0
2,40000,80000,6514,1,0,22020,0,0,11442,0,0
2,40000,80000,6542,1,0,22056,0,0,11421,0,0
2,40000,80000,6552,1,0,22065,0,0,11405,0,0
2,40000,80000,6603,1,1e-06,22016,0,0,11408,0,0
2,40000,80000,6584,2,5e-06,22046,0,0,11387,0,0
2,40000,80000,6559,3,0,22084,0,0,11380,0,0
2,40000,80000,6558,1,0,22056,0,0,11416,0,0
2,40000,80000,6555,1,0,22063,0,0,11420,0,0
2,40000,80000,6604,1,0,22053,0,0,11385,0,0
2,40000,80000,6572,2,0,22066,0,0,11416,0,0
2,40000,80000,6586,2,0,22058,0,0,11403,0,0
2,40000,80000,6580,1,0,22063,0,0,11409,0,0
2,40000,80000,6574,3,0,22066,0,0,11424,0,0
2,40000,80000,6556,1,0,22069,0,0,11435,0,0
2,40000,80000,6606,2,0,22061,0,0,11401,0,0
2,40000,80000,6585,2,9e-06,22057,0,0,11431,0,0
2,40000,80000,6594,2,1e-06,22061,0,0,11410,0,0
2,40000,80000,6576,2,0,22088,0,0,11409,0,0
2,40000,80000,6587,2,0,22078,0,0,11412,0,0
2,40000,80000,6584,3,0,22081,0,0,11408,0,0
2,40000,80000,6576,3,0,22075,0,0,11420,0,0
2,40000,80000,6615,3,1e-06,22055,0,0,11414,0,0
2,40000,80000,6602,2,2e-06,22058,0,0,11422,0,0
2,40000,80000,6606,2,0,22083,0,0,11415,0,0
2,40000,80000,6615,3,1e-06,22068,0,0,11428,0,0
2,40000,80000,6643,3,0,22063,0,0,11419,0,0
2,40000,80000,6581,1,0,22116,0,0,11419,0,0
2,40000,80000,6636,1,0,22067,0,0,11420,0,0
2,40000,80000,6684,1,0,22062,0,0,11413,0,0
4,40000,80000,3385,6,6e-06,10892,0,0,5667,0,0
4,40000,80000,3332,5,8e-06,10960,0,0,5708,0,0
4,40000,80000,3390,4,4e-06,11026,0,0,5708,0,0
4,40000,80000,3410,7,1.6e-05,11022,0,0,5696,0,0
4,40000,80000,3401,4,5e-06,11024,0,0,5711,0,0
4,40000,80000,3422,5,7e-06,11014,0,0,5699,0,0
4,40000,80000,3412,5,1.1e-05,11027,0,0,5703,0,0
4,40000,80000,3405,5,5e-06,11037,0,0,5706,0,0
4,40000,80000,3414,4,7e-06,11025,0,0,5719,0,0
4,40000,80000,3412,5,5e-06,11035,0,0,5723,0,0
4,40000,80000,3421,3,6e-06,11038,0,0,5714,0,0
4,40000,80000,3440,6,7e-06,11020,0,0,5715,0,0
4,40000,80000,3423,3,4e-06,11027,0,0,5724,0,0
4,40000,80000,3418,5,6e-06,11047,0,0,5725,0,0
4,40000,80000,3429,5,6e-06,11065,0,0,5711,0,0
4,40000,80000,3469,3,5e-06,11039,0,0,5723,0,0
4,40000,80000,3367,4,6e-06,10988,0,0,5711,0,0
4,40000,80000,3375,4,7e-06,10972,0,0,5731,0,0
4,40000,80000,3360,4,5e-06,11010,0,0,5723,0,0
4,40000,80000,3395,3,5e-06,11027,0,0,5700,0,0
4,40000,80000,3401,5,1e-05,11021,0,0,5715,0,0
4,40000,80000,3411,4,4e-06,11022,0,0,5719,0,0
4,40000,80000,3421,3,4e-06,11026,0,0,5717,0,0
4,40000,80000,3410,3,6e-06,11045,0,0,5712,0,0
4,40000,80000,3430,5,1e-05,11033,0,0,5711,0,0
4,40000,80000,3447,4,7e-06,11031,0,0,5699,0,0
4,40000,80000,3423,4,3.8e-05,11024,0,0,5728,0,0
4,40000,80000,3403,4,4e-06,11057,0,0,5719,0,0
4,40000,80000,3412,3,4e-06,11050,0,0,5730,0,0
4,40000,80000,3466,4,4e-06,11017,0,0,5719,0,0
4,40000,80000,3436,4,5e-06,11046,0,0,5719,0,0
4,40000,80000,3453,4,1.2e-05,11033,0,0,5723,0,0
8,40000,80000,1715,10,5.9e-05,6034,0,0,3202,0,0
8,40000,80000,1759,10,0.000131,6021,0,0,3193,0,0
8,40000,80000,1757,7,5.1e-05,6039,0,0,3198,0,0
8,40000,80000,1769,9,0.000137,6055,0,0,3197,0,0
8,40000,80000,1827,13,0.000118,6067,0,0,3203,0,0
