cores,TestSizePre,TestSizeMain,time write,goToStart write,lostTime write,time mixed,goToStart mixed,lostTime mixed,time check,goToStart check,lostTime check
64,2000,4000,4,188,0.001658,17,92,0.000335,3,0,0
64,4000,8000,12,223,0.002962,37,40,0.001734,13,0,0
64,8000,16000,41,269,0.00614,92,76,0.0087,55,0,0
64,16000,32000,157,295,0.013003,398,78,0.020719,270,0,0
64,32000,64000,717,300,0.024938,1673,82,0.045681,1148,0,0
64,64000,128000,2757,361,0.048302,6935,80,0.093367,4783,0,0
64,128000,256000,14476,463,0.104647,55930,78,0.428708,30511,0,0
64,128000,256000,14227,464,0.08698,56208,92,0.553469,30267,0,0
64,128000,256000,15461,406,0.089694,57088,76,0.398701,30515,0,0
64,128000,256000,15628,385,0.086042,57787,74,0.419293,30671,0,0
64,128000,256000,14557,440,0.084901,57074,90,0.472902,28899,0,0
64,128000,256000,14572,428,0.109261,57061,71,0.41753,30030,0,0
64,128000,256000,14375,486,0.112082,56745,89,0.496615,30739,0,0
64,128000,256000,13809,511,0.099245,57013,59,0.34536,30266,0,0
64,128000,256000,15166,430,0.095097,57336,80,0.464018,29289,0,0
64,128000,256000,13953,453,0.111608,55594,86,0.504447,30356,0,0
64,128000,256000,14746,374,0.096861,56075,80,0.427998,29664,0,0
64,128000,256000,14705,460,0.091666,56517,75,0.398787,30623,0,0
64,128000,256000,14413,489,0.096453,57340,79,0.44446,32286,0,0
64,128000,256000,14151,446,0.088988,55799,88,0.481588,31032,0,0
64,128000,256000,14820,501,0.117907,56914,65,0.40149,30426,0,0
64,128000,256000,14501,476,0.099293,56473,76,0.406944,31614,0,0
64,128000,256000,14462,483,0.109994,56425,69,0.400495,30790,0,0
64,170000,340000,39942,442,0.183374,163198,74,0.857944,93701,0,0
64,170000,340000,39055,334,0.160759,165180,83,0.960348,93391,0,0
64,170000,340000,37326,384,0.127852,161957,86,0.940282,92461,0,0
64,170000,340000,40115,459,0.170264,162720,64,0.774165,93406,0,0
64,170000,340000,40156,472,0.161023,162508,81,0.940013,94546,0,0
64,96000,192000,7191,300,0.049504,19605,75,0.193734,11948,0,0
64,96000,192000,6624,429,0.08313,19462,76,0.179396,11628,0,0
64,96000,192000,6904,375,0.066669,19610,84,0.180109,11189,0,0
64,96000,192000,6991,410,0.062704,18467,91,0.203134,11416,0,0
64,96000,192000,6763,432,0.062161,19062,72,0.154615,11547,0,0
1,40000,80000,28269,0,0,112107,0,0,69276,0,0
1,40000,80000,30106,0,0,119140,0,0,73668,0,0
1,40000,80000,30268,0,0,126962,0,0,72263,0,0
1,40000,80000,29874,0,0,129774,0,0,71423,0,0
1,40000,80000,28232,0,0,133313,0,0,70026,0,0
1,40000,80000,29535,0,0,132367,0,0,75981,0,0
1,40000,80000,29573,0,0,135677,0,0,73195,0,0
1,40000,80000,30852,0,0,126729,0,0,81816,0,0
1,40000,80000,26495,0,0,138176,0,0,74958,0,0
1,40000,80000,28243,0,0,137439,0,0,74111,0,0
1,40000,80000,30654,0,0,135036,0,0,74974,0,0
1,40000,80000,31181,0,0,134069,0,0,75947,0,0
1,40000,80000,31198,0,0,137569,0,0,72739,0,0
1,40000,80000,27651,0,0,136693,0,0,77508,0,0
1,40000,80000,30337,0,0,133182,0,0,78463,0,0
1,40000,80000,29643,0,0,139782,0,0,72920,0,0
1,40000,80000,29615,0,0,137351,0,0,75470,0,0
1,40000,80000,29271,0,0,138179,0,0,75142,0,0
1,40000,80000,28936,0,0,135021,0,0,78673,0,0
1,40000,80000,30960,0,0,148411,0,0,64628,0,0
1,40000,80000,30311,0,0,132434,0,0,81316,0,0
1,40000,80000,27167,0,0,143472,0,0,73780,0,0
1,40000,80000,29109,0,0,139087,0,0,77229,0,0
1,40000,80000,28226,0,0,141072,0,0,76445,0,0
1,40000,80000,29087,0,0,136497,0,0,80565,0,0
1,40000,80000,29236,0,0,139254,0,0,77924,0,0
1,40000,80000,30090,0,0,146337,0,0,70239,0,0
1,40000,80000,26601,0,0,139635,0,0,80496,0,0
1,40000,80000,28790,0,0,134941,0,0,83320,0,0
1,40000,80000,30173,0,0,136826,0,0,80829,0,0
1,40000,80000,29351,0,0,143893,0,0,74941,0,0
1,40000,80000,27901,0,0,146550,0,0,74366,0,0
1,40000,80000,30689,0,0,150432,0,0,68104,0,0
1,40000,80000,31004,0,0,143475,0,0,75353,0,0
1,40000,80000,29624,0,0,137287,0,0,83091,0,0
1,40000,80000,30973,0,0,147504,0,0,71699,0,0
1,40000,80000,30116,0,0,140909,0,0,79953,0,0
1,40000,80000,29208,0,0,151556,0,0,70932,0,0
1,40000,80000,27145,0,0,149137,0,0,75530,0,0
1,40000,80000,29075,0,0,146206,0,0,76835,0,0
1,40000,80000,29960,0,0,142733,0,0,79584,0,0
1,40000,80000,28604,0,0,152130,0,0,71605,0,0
1,40000,80000,28028,0,0,148310,0,0,75986,0,0
1,40000,80000,30997,0,0,145710,0,0,75813,0,0
1,40000,80000,28466,0,0,140324,0,0,83851,0,0
1,40000,80000,29508,0,0,148224,0,0,75115,0,0
1,40000,80000,30434,0,0,137806,0,0,84788,0,0
1,40000,80000,30060,0,0,152606,0,0,70452,0,0
1,40000,80000,30997,0,0,147244,0,0,75713,0,0
1,40000,80000,30891,0,0,149816,0,0,73477,0,0
1,40000,80000,28969,0,0,146625,0,0,79867,0,0
1,40000,80000,28492,0,0,145769,0,0,81292,0,0
1,40000,80000,30516,0,0,143884,0,0,81868,0,0
1,40000,80000,29877,0,0,154802,0,0,73007,0,0
1,40000,80000,30093,0,0,156059,0,0,71532,0,0
1,40000,80000,29375,0,0,155072,0,0,73396,0,0
1,40000,80000,31913,0,0,167325,0,0,58672,0,0
1,40000,80000,30098,0,0,151820,0,0,76252,0,0
1,40000,80000,29131,0,0,155034,0,0,74711,0,0
1,40000,80000,28444,0,0,145547,0,0,85775,0,0
1,40000,80000,30675,0,0,159244,0,0,72126,0,0
1,40000,80000,29871,0,0,158739,0,0,74388,0,0
1,40000,80000,30956,0,0,154890,0,0,77264,0,0
1,40000,80000,31184,0,0,159369,0,0,78898,0,0
2,40000,80000,13276,8,0.000181,40693,0,0,23958,0,0
2,40000,80000,13248,6,2e-06,42246,1,0.000767,23637,0,0
2,40000,80000,13352,5,0.000258,39583,0,0,26391,0,0
2,40000,80000,13280,6,0.000182,40974,1,0.000483,25135,0,0
2,40000,80000,13310,7,0.000158,40583,1,0.000195,26167,0,0
2,40000,80000,13292,7,6e-05,43776,3,0.001168,23067,0,0
2,40000,80000,13303,7,0.000443,40653,2,0.000681,26245,0,0
2,40000,80000,13331,12,0.000318,40474,1,0.00064,26411,0,0
2,40000,80000,13306,9,0.000104,42391,2,0.000689,24685,0,0
2,40000,80000,13287,7,4.6e-05,40996,1,0.000478,26139,0,0
2,40000,80000,13228,11,0.000234,40953,5,0.002583,26336,0,0
2,40000,80000,13279,10,0.000647,40911,2,0.001074,26355,0,0
2,40000,80000,13309,8,0.000107,41449,3,0.00171,26365,0,0
2,40000,80000,13367,8,0.000237,41287,0,0,26647,0,0
2,40000,80000,13460,10,0.000242,41712,1,0.000588,26166,0,0
2,40000,80000,13261,7,0.00052,41703,0,0,26456,0,0
2,40000,80000,13263,6,0.000153,41498,1,0.000484,26760,0,0
2,40000,80000,13328,8,7.9e-05,41792,0,0,26577,0,0
2,40000,80000,13332,10,0.000158,41889,3,0.001482,26603,0,0
2,40000,80000,13502,13,0.000228,41808,0,0,26559,0,0
2,40000,80000,13434,9,5.8e-05,42005,1,0.000476,26492,0,0
2,40000,80000,14289,2,0.000309,41472,2,0.000736,26448,0,0
2,40000,80000,13309,5,0.000184,42500,1,9.8e-05,26517,0,0
2,40000,80000,13306,13,0.000536,42367,0,0,26996,0,0
2,40000,80000,13339,11,0.000442,42851,1,0.000606,26582,0,0
2,40000,80000,13406,8,0.00015,44556,2,0.00103,24917,0,0
2,40000,80000,13903,5,0.000526,42843,2,0.000913,26256,0,0
2,40000,80000,13419,8,0.000226,42887,1,0.000459,26888,0,0
2,40000,80000,13393,8,0.000802,42787,2,0.001343,27044,0,0
2,40000,80000,13371,11,8e-06,44274,0,0,26982,0,0
2,40000,80000,13368,11,0.000102,44769,1,0.000482,26750,0,0
2,40000,80000,13535,4,0.000157,45132,0,0,26706,0,0
4,40000,80000,6726,20,0.00094,19893,1,0.000608,13260,0,0
4,40000,80000,6815,19,0.001132,20041,5,0.002032,13315,0,0
4,40000,80000,6859,24,0.000727,20270,2,0.000849,13438,0,0
4,40000,80000,6801,17,0.000529,20147,6,0.002675,13689,0,0
4,40000,80000,6794,17,0.001214,20744,3,0.001103,13375,0,0
4,40000,80000,6920,19,0.000605,20894,6,0.003368,13179,0,0
4,40000,80000,6733,21,0.000801,20478,3,0.00118,13811,0,0
4,40000,80000,6820,23,0.000936,21058,4,0.001692,13384,0,0
4,40000,80000,6886,30,0.001567,20760,3,0.00082,13690,0,0
4,40000,80000,6868,22,0.000982,21073,6,0.002208,13407,0,0
4,40000,80000,6850,26,0.000391,21299,4,0.001682,13629,0,0
4,40000,80000,6820,16,0.000179,21440,3,0.000874,13715,0,0
4,40000,80000,6904,21,0.000869,21599,6,0.002604,13538,0,0
4,40000,80000,6881,19,0.000657,21549,4,0.001855,13699,0,0
4,40000,80000,6845,29,0.001087,21626,4,0.002361,13675,0,0
4,40000,80000,6919,25,0.000709,21565,6,0.002024,13726,0,0
4,40000,80000,6727,19,0.000648,20336,5,0.002528,13301,0,0
4,40000,80000,6833,23,0.001201,20067,7,0.002497,13491,0,0
